barcode,titck_product_code,trade_name,manufacturer,atc_code,active_substance_tr,dosage_form,strength_value,strength_unit,strength_text,package_size_text,rx_only,reimbursable,retired_at
8683372180178,,ALLERMUNE POLYMERIZED OLEA EUROPAEA 0.77 HEPD ENJEKSIYONLUK COZELTI (BASLANGIC),MEDİMAX İLAÇ İTHALAT İHRACAT LİMİTED ŞİRKETİ,V01AA,,çözelti,,,,,true,false,
8683372180185,,ALLERMUNE POLYMERIZED OLEA EUROPAEA 0.77 HEPD ENJEKSIYONLUK COZELTI (DEVAM),MEDİMAX İLAÇ İTHALAT İHRACAT LİMİTED ŞİRKETİ,V01AA,,çözelti,,,,,true,false,
8683372180215,,ALLERMUNE POLYMERIZED SPRING MIX TREES 0.1 MG/ML ENJEKSIYONLUK COZELTI (BASLANGIC),MEDİMAX İLAÇ İTHALAT İHRACAT LİMİTED ŞİRKETİ,V01AA,,çözelti,0.1,mg/ml,0.1 MG/ML,,true,false,
8683372180222,,ALLERMUNE POLYMERIZED SPRING MIX TREES 0.1 MG/ML ENJEKSIYONLUK COZELTI (DEVAM),MEDİMAX İLAÇ İTHALAT İHRACAT LİMİTED ŞİRKETİ,V01AA,,çözelti,0.1,mg/ml,0.1 MG/ML,,true,false,
8683372180253,,ALLERMUNE POLYMERIZED D. PTERONYSSINUS + D. FARINAE 0.15 HEPD/0.15 HEPD ENJEKSIYONLUK COZELTI (BASLANGIC),MEDİMAX İLAÇ İTHALAT İHRACAT LİMİTED ŞİRKETİ,V01AA,,çözelti,,,,,true,false,
8683372180260,,ALLERMUNE POLYMERIZED D. PTERONYSSINUS + D. FARINAE 0.15 HEPD/0.15 HEPD ENJEKSIYONLUK COZELTI (DEVAM),MEDİMAX İLAÇ İTHALAT İHRACAT LİMİTED ŞİRKETİ,V01AA,,çözelti,,,,,true,false,
8683873411535,,NICORETTE COOLS 2 MG NANELI PASTIL (20 ADET),JNTL TURKEY TÜKETİCİ SAĞLIĞI LİMİTED ŞİRKETİ,N07BA01,,,2,mg,2 MG,,true,false,
8683873411542,,NICORETTE COOLS 2 MG NANELI PASTIL (80 ADET),JNTL TURKEY TÜKETİCİ SAĞLIĞI LİMİTED ŞİRKETİ,N07BA01,,,2,mg,2 MG,,true,false,
8683873411566,,NICORETTE COOLS 4 MG NANELI PASTIL (20 ADET),JNTL TURKEY TÜKETİCİ SAĞLIĞI LİMİTED ŞİRKETİ,N07BA01,,,4,mg,4 MG,,true,false,
8684055798826,,MEDISAL 20 MG/2 ML ENJEKSIYONLUK/INFUZYONLUK COZELTI (5 AMPUL),SİBU PHARM İLAÇ SANAYİ VE DIŞ TİCARET ANONİM ŞİRKETİ,C03CA01,,çözelti,20,mg/2ml,20 MG/2 ML,,true,true,
8684055798864,,SEDORAL 1G/2 ML ENJEKSIYONLUK COZELTI (10 AMPUL),SİBU PHARM İLAÇ SANAYİ VE DIŞ TİCARET ANONİM ŞİRKETİ,N02BB02,,çözelti,1,g,1 G,,true,false,
8684278010026,,"METSIKON 69,19 MG/ML SUSPANSIYON (30 ML)",LUMİNA HEALTHCARE SAĞLIK İLAÇ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,A03AX13,,süspansiyon,69.19,mg/ml,"69,19 MG/ML",19 MG/ML SUSPANSIYON (30 ML),true,false,
8684521779410,,DEFIRINAL 500 MG DAGILABILIR TABLET (28 TABLET),PHARMİNAL MEDİKAL İLAÇ ANONİM ŞİRKETİ,V03AC03,,tablet,500,mg,500 MG,,true,false,
8690570081077,,GAVISCON DOUBLE ACTION 48 CIGNEME TABLETI,RECKITT BENCKISER TEMİZLİK MALZEMESİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,A02BX13,,tablet,,,,,true,false,
8690632012803,,PROZERO 6x1 L,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06CA,,,,,,,true,false,
8690632247366,,"PEPTAMEN JUNİOR 1,5 KCAL VANİLYA AROMALI 24X200 ML",NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,,,,5 KCAL VANİLYA AROMALI 24X200 ML,true,true,
8690632248448,,"PEPTAMEN JUNIOR 1,5 KCAL MUZ AROMALI 24X200 ML",NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,,,,5 KCAL MUZ AROMALI 24X200 ML,true,true,
8690632710365,,RENASTEP 125 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,125,ml,125 ML,,true,false,
8690632760704,,PKU EXPRESS 750 GR TROPIK (30X25 GR) SASE,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06CA,,,,,,,true,false,
8690632760728,,PKU GEL AHUDUDU 720 GR(30X24GR) SASE,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06CA,,,,,,,true,false,
8690632760735,,PKU EXPRESS 750 GR(30X25 GR) SASE,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06CA,,,,,,,true,false,
8690632760742,,HCU EXPRESS 750 GR(30X25 GR) SASE,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DE,,,,,,,true,false,
8690632760759,,PKU GEL 720 GR(30X24GR) SASE,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06CA,,,,,,,true,false,
8690632760773,,TYR GEL 720 G SASE,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06CA,,,720,g,720 G,,true,false,
8690632760780,,TYR EXPRESS 750 GR 30x25 GR SASE,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06CA,,,,,,,true,false,
8690632760797,,MSUD GEL 720 G SASE,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06C,,,720,g,720 G,,true,false,
8690632760803,,MSUD EXPRESS 750 GR 30x25 GR SASE,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06D,,,,,,,true,false,
8690632760827,,"PKU COOLER PORTAKAL 4,4 KG(30X130 ML) POSET",NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06CA,,,,,,4 KG(30X130 ML) POSET,true,false,
8690632760858,,PKU COOLER 15 KIRMIZI (30x130 ML),NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06CA,,,,,,,true,false,
8690632990019,,IMPACT 500 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,500,ml,500 ML,,true,true,
8690632990040,,IMPACT GLUTAMINE 500 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,500,ml,500 ML,,true,true,
8690632990057,,ISOSOURCE PROTEIN 500 ML VANILLA,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,500,ml,500 ML,,true,true,
8690632990118,,NOVASOURCE GI CONTROL 500 ML VANILLA,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,500,ml,500 ML,,true,true,
8690632990194,,RESOURCE GLUTAMINE 100 GR (5GR*20) SASE,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,A16AA03,,,,,,,true,true,
